商家名称,商家链接,商区,口味评分,环境评分,服务评分,人均消费
鳗亭日本料理(1912店),http://www.dianping.com/shop/97572434,珠江路沿线,9.2,9.3,9.2,￥285
玄锦·鸭府,http://www.dianping.com/shop/110271573,新城市广场,9.2,9.3,9.3,￥103
CACO HOUSE 巧啡屋,http://www.dianping.com/shop/98184857,新街口地区,9.1,9.2,9.2,￥52
七欣天品蟹轩(建邺乐基店),http://www.dianping.com/shop/110385560,应天大街/文体路,9.2,9.2,9.1,￥128
酒玖肆精酿啤酒音乐烤吧(曙光天地店),http://www.dianping.com/shop/97129517,夫子庙地区,9.1,9.2,9.2,￥97
小翠家烧烤水饺,http://www.dianping.com/shop/113931983,新街口地区,9.1,9.3,9.2,￥36
焱堡厨房(上海路店),http://www.dianping.com/shop/97296471,南大/南师大,9.2,8.8,9.1,￥38
筑味日式料理,http://www.dianping.com/shop/97511896,夫子庙地区,9.2,9.2,9.2,￥325
甜小兔tiyo's cake蛋糕店,http://www.dianping.com/shop/72454268,建邺万达,9.2,9.2,9.2,￥52
海弘昌,http://www.dianping.com/shop/5539808,湖南路,8.9,8.8,8.6,￥774
蜀香龍门火锅(迈皋桥店),http://www.dianping.com/shop/96296211,迈皋桥/和燕路,9.1,9.2,9.2,￥113
五季随园,http://www.dianping.com/shop/92472001,莫愁湖/水西门,9.1,9.4,9.3,￥506
Seven Poke夏威夷波奇海鲜饭(新街口总店),http://www.dianping.com/shop/98006685,新街口地区,9.2,9.1,9.3,￥55
串个串串,http://www.dianping.com/shop/101922256,湖南路,9.2,9.2,9.1,￥75
蓉炉火锅,http://www.dianping.com/shop/70148224,莫愁湖/水西门,9.2,9.3,9.2,￥110
秋野暮(文昌巷店),http://www.dianping.com/shop/98869939,常府街/长白街,9.1,9.3,9.2,￥19
心灵翻糖甜品设计室,http://www.dianping.com/shop/65977013,常府街/长白街,9.2,9.2,9.2,￥747
海蒸鲜蒸汽海鲜餐厅(丹凤街店),http://www.dianping.com/shop/92746201,珠江路沿线,9.3,9.0,9.1,￥246
私宴·私人定制,http://www.dianping.com/shop/97409066,新街口地区,9.2,9.2,9.2,￥566
AWESOME SELECT奥瑟精选,http://www.dianping.com/shop/110321831,湖南路,9.1,9.2,9.2,￥160
Whisper studio薇语花艺烘焙工作室,http://www.dianping.com/shop/97220720,江宁万达,9.2,9.2,9.2,￥297
渔膳,http://www.dianping.com/shop/95291491,南京国际博览中心/元通,9.2,9.3,9.2,￥337
那些年,http://www.dianping.com/shop/121542588,珠江路沿线,9.2,9.2,9.1,￥62
漫滋翻糖蛋糕.甜品台定制,http://www.dianping.com/shop/23072958,常府街/长白街,9.1,9.1,9.2,￥206
家·餐厅JIA restaurant(金陵饭店),http://www.dianping.com/shop/19144953,新街口地区,9.1,9.3,9.2,￥388
moondo慕嘟甜品蛋糕咖啡,http://www.dianping.com/shop/38152310,江宁万达,9.2,9.2,9.1,￥263
宽渡(门东店),http://www.dianping.com/shop/93995844,秦虹村/中华门,9.0,9.2,9.2,￥519
Jasmine Flavour,http://www.dianping.com/shop/112001039,南京国际博览中心/元通,9.1,9.1,9.1,￥48
鳗亭烧肉酒场,http://www.dianping.com/shop/96490653,珠江路沿线,9.2,9.2,9.1,￥261
水虎传·台湾黑糖专卖,http://www.dianping.com/shop/107980382,新街口地区,9.2,9.1,9.2,￥13
渔鼎仙·酸菜鱼椒麻鱼牛蛙火锅,http://www.dianping.com/shop/107979765,应天大街/文体路,9.2,9.1,9.1,￥80
聚鲜海平价海鲜土菜馆,http://www.dianping.com/shop/103633376,苜蓿园,9.1,9.1,9.1,￥236
UNiUNi(江宁金鹰店),http://www.dianping.com/shop/107708485,百家湖,9.2,9.1,9.2,￥42
随遇而安Cafe&Bar,http://www.dianping.com/shop/67432335,新街口地区,9.1,9.2,9.2,￥50
屿蓝甜品生日蛋糕,http://www.dianping.com/shop/94316585,弘阳广场/新一城,9.2,9.2,9.2,￥200
罗登巴赫比利时啤酒博物馆西餐厅(翠贝卡二号分店),http://www.dianping.com/shop/76714608,新街口地区,9.1,9.3,9.1,￥226
星海湾大连海鲜烧烤(建邺旗舰店),http://www.dianping.com/shop/111541452,莫愁湖/水西门,9.2,9.3,9.3,￥94
SoNature素诺烘焙生日蛋糕私人定制,http://www.dianping.com/shop/82876601,百家湖,9.2,9.2,9.2,￥175
ROOMMATE美式餐厅酒吧,http://www.dianping.com/shop/110500436,新街口地区,9.2,9.3,9.2,￥123
银城皇冠假日酒店百家楼中餐厅,http://www.dianping.com/shop/13888339,胜太路,9.1,9.2,9.0,￥169
猫家冰淇淋咖啡店,http://www.dianping.com/shop/103621952,建邺万达,9.1,9.2,9.2,￥49
螺丝找虾虾找面(来凤街店),http://www.dianping.com/shop/57237736,升州路/集庆路,9.2,9.0,9.1,￥165
臻鲜燕麻辣海鲜香辣蟹,http://www.dianping.com/shop/97231913,新街口地区,9.2,9.1,9.2,￥122
